iter	MultiClass
358	0.6647506228
359	0.66400315
360	0.6632124402
361	0.6623222955
362	0.6607125735
363	0.6600224019
364	0.6591603943
365	0.658361563
366	0.6576921338
367	0.6568742547
368	0.6564052898
369	0.6558031245
370	0.6553204181
371	0.6548491472
372	0.654431553
373	0.653858326
374	0.6532647478
375	0.6522469006
376	0.6513019229
377	0.6509071737
378	0.6503342062
379	0.6493151347
380	0.6479058928
381	0.6475634593
382	0.6468697002
383	0.645871182
384	0.6451391588
385	0.6445342244
386	0.6437341975
387	0.6432325179
388	0.6429678951
389	0.6424213674
390	0.6416779951
391	0.6414443227
392	0.6410571775
393	0.640347527
394	0.6395214966
395	0.6382924047
396	0.6375609949
397	0.6369979434
398	0.6365160322
399	0.6363175287
400	0.6354516753
401	0.6348133907
402	0.6343847505
403	0.6333742952
404	0.6327222377
405	0.6316972781
406	0.6306841056
407	0.6300869925
408	0.6295250919
409	0.629109879
410	0.6285937316
411	0.6283191014
412	0.6279279594
413	0.627562986
414	0.6273347748
415	0.626924257
416	0.6258016062
417	0.6254116131
418	0.6250078495
419	0.6245280183
420	0.6241084322
421	0.6229180443
422	0.6218162278
423	0.6211980811
424	0.6206530498
425	0.6191812339
426	0.6183489798
427	0.6177942412
428	0.6172354429
429	0.61675628
430	0.6164664697
431	0.6158632259
432	0.6151744738
433	0.6143379043
434	0.6136876113
435	0.6132006432
436	0.6119848278
437	0.6109584724
438	0.6101285707
439	0.6095566731
440	0.6091408484
441	0.6088747302
442	0.6082698894
443	0.6077131764
444	0.6070954059
445	0.6066243289
446	0.6063648834
447	0.6059132596
448	0.6053705424
449	0.604721448
450	0.6040053952
451	0.6036072107
452	0.602893104
453	0.6017812318
454	0.60150445
455	0.6011856253
456	0.6003200114
457	0.5997160934
458	0.5994626576
459	0.5989411006
460	0.5984506799
461	0.5982180771
462	0.5978104211
463	0.5967207424
464	0.5957075316
465	0.5949311304
466	0.5943569227
467	0.5937678036
468	0.5931074435
469	0.5927626447
470	0.5920907131
471	0.5916572021
472	0.5905416729
473	0.5903318804
474	0.5899076169
475	0.5890312574
476	0.5885764214
477	0.588063311
478	0.5874639925
479	0.5865769222
480	0.5861354999
481	0.5857475478
482	0.5852783574
483	0.5846299533
484	0.5841631978
485	0.5837375097
486	0.5834068374
487	0.5828679036
488	0.581990374
489	0.5811829457
490	0.5802035869
491	0.5797491438
492	0.5793370144
493	0.5787352032
494	0.5779389829
495	0.5771112416
496	0.5767630967
497	0.5760176372
498	0.5753424478
499	0.5746494047
500	0.5741083729
501	0.573399265
502	0.5727189085
503	0.57154031
504	0.5712976483
505	0.5705429055
506	0.5701950085
507	0.5693224386
508	0.5687041564
509	0.5675670492
510	0.5667190785
511	0.5663993878
512	0.5658317979
513	0.5652265597
514	0.5648385108
515	0.5643517547
516	0.5635913169
517	0.5626026757
518	0.5622507545
519	0.5618503905
520	0.5614730253
521	0.561215546
522	0.5605929372
523	0.5602935574
524	0.559814011
525	0.5593580315
526	0.5588911492
527	0.5584300515
528	0.5578292934
529	0.5574379515
530	0.5569641658
531	0.556563541
532	0.5560832961
533	0.555601363
534	0.55518065
535	0.5548056774
536	0.554205397
537	0.5536487486
538	0.5531617519
539	0.5526611491
540	0.5521606752
541	0.5515245046
542	0.5509966097
543	0.5502883656
544	0.5497109929
545	0.5491939779
546	0.5484337507
547	0.5481306076
548	0.5471332094
549	0.5464491355
550	0.5458516591
551	0.5454951981
552	0.5448379622
553	0.5445454613
554	0.5439658948
555	0.5430555622
556	0.5423480277
557	0.5417909592
558	0.5412750821
559	0.5407553066
560	0.5404880763
561	0.5402916724
562	0.5397410181
563	0.5389582797
564	0.5382290628
565	0.5373416548
566	0.5368999183
567	0.5367332304
568	0.5362698329
569	0.5355062565
570	0.5347619851
571	0.5342769322
572	0.5336760867
573	0.5330973387
574	0.5325979672
575	0.5321499921
576	0.5313047154
577	0.5308464979
578	0.5303896836
579	0.5301008487
580	0.5289858647
581	0.5280814993
582	0.5276837322
583	0.5273427533
584	0.5268249627
585	0.5261388989
586	0.5256388514
587	0.525149235
588	0.5245978383
589	0.5241237597
590	0.5236747966
591	0.5230082909
592	0.5225488934
593	0.5223349182
594	0.5214524708
595	0.5207706182
596	0.5200771443
597	0.5197517948
598	0.5194380434
599	0.5188983305
600	0.5183443352
601	0.5180237994
602	0.5176615874
603	0.5170609467
604	0.5164577168
605	0.515971332
606	0.5156558293
607	0.5153206122
608	0.5150808951
609	0.5149357252
610	0.5145885676
611	0.5136938086
612	0.5133958858
613	0.5130936259
614	0.5127677047
615	0.5124744593
616	0.5121590161
617	0.5114577233
618	0.5110420726
619	0.5107553957
620	0.5099646812
621	0.5094580481
622	0.5090662418
623	0.5085439371
624	0.5078817649
625	0.507584041
626	0.5069564766
627	0.5066265059
628	0.5058621058
629	0.5051593277
630	0.504946843
631	0.5042788599
632	0.5038573048
633	0.5035343588
634	0.5031608165
635	0.5028506333
636	0.5023098721
637	0.5016289733
638	0.5014252601
639	0.5008425867
640	0.5003792707
641	0.5002165036
642	0.4999349297
643	0.4993508262
644	0.499066619
645	0.4987034893
646	0.4984254721
647	0.4980197075
648	0.4973466319
649	0.4969455425
650	0.4963800961
651	0.4958218993
652	0.4955687791
653	0.4948218108
654	0.4941553607
655	0.4937099839
656	0.4933505274
657	0.4926546599
658	0.492370543
659	0.491842195
660	0.4909408935
661	0.4905926639
662	0.4903444894
663	0.4900974733
664	0.4896672516
665	0.489296042
666	0.4889109757
667	0.4882584382
668	0.4876341934
669	0.4869541618
670	0.4862475154
671	0.4859224375
672	0.4853254021
673	0.4849716447
674	0.4844681038
675	0.4841347039
676	0.4838261431
677	0.4831315833
678	0.4826780124
679	0.4818510881
680	0.4815759658
681	0.4811157633
682	0.4806304077
683	0.4798546385
684	0.4794989857
685	0.4791802876
686	0.4787655182
687	0.4778788557
688	0.4776015932
689	0.4770328525
690	0.4764089639
691	0.4759424787
692	0.4754066993
693	0.4748871217
694	0.4747102599
695	0.4742014699
696	0.4738223804
697	0.4733331864
698	0.472749993
699	0.4721288808
700	0.4718199451
701	0.4715839709
702	0.471203133
703	0.4706993629
704	0.4702804202
705	0.4700136015
706	0.4696740412
707	0.4692073898
708	0.4687292985
709	0.4684808724
710	0.4678930498
711	0.4672353216
712	0.4667862783
713	0.4664717872
714	0.4659853938
715	0.4654232074
716	0.4651173783
717	0.4647299128
718	0.464302027
719	0.4640723896
720	0.4638417723
721	0.4634427346
722	0.4628774484
723	0.4621568017
724	0.4619586546
725	0.4616166363
726	0.4613608129
727	0.4610212785
728	0.4605513111
729	0.4600816218
730	0.4597227058
731	0.4594422577
732	0.4591063634
733	0.4589776362
734	0.4586249218
735	0.4583725077
736	0.4579713999
737	0.457302221
738	0.4569888355
739	0.4564454329
740	0.4561292525
741	0.4559533324
742	0.455544499
743	0.4547590187
744	0.4543759173
745	0.4538733183
746	0.453448268
747	0.4527772988
748	0.4523344115
749	0.4521989805
750	0.4519817445
751	0.4513848052
752	0.4509939363
753	0.4506421033
754	0.4503219589
755	0.4500084056
756	0.4496025472
757	0.4492993063
758	0.448950799
759	0.4484516689
760	0.4479458246
761	0.4472578281
762	0.4469743806
763	0.4463262927
764	0.446133167
765	0.4456097113
766	0.4450105202
767	0.4445819403
768	0.4442963784
769	0.4437652649
770	0.4433758017
771	0.4430728995
772	0.4426384514
773	0.4418495533
774	0.4415695947
775	0.4411386945
776	0.4408097945
777	0.4405577594
778	0.4400355653
779	0.4397314283
780	0.4391179572
781	0.438671368
782	0.4380396958
783	0.4377966222
784	0.4375324135
785	0.4371874069
786	0.4367116303
787	0.4363097411
788	0.4359249661
789	0.4353534834
790	0.4350460635
791	0.4346369027
792	0.4343976167
793	0.4338202861
794	0.4335429594
795	0.4330975704
796	0.4326470771
797	0.4324537006
798	0.4317310976
799	0.4311099043
800	0.4307760568
801	0.4304612772
802	0.4299684849
803	0.4296917172
804	0.4294264793
805	0.4289072013
806	0.4283657987
807	0.4281722782
808	0.4279277011
809	0.427165297
810	0.4268945996
811	0.4263143304
812	0.4259425748
813	0.4258100654
814	0.4255819966
815	0.4253230934
816	0.4250093665
817	0.4246363164
818	0.4242753301
819	0.4239977601
820	0.4234919737
821	0.4227591122
822	0.4226174306
823	0.4223146805
824	0.4218874106
825	0.4215158873
826	0.4211949878
827	0.4206250651
828	0.4202330154
829	0.4198431299
830	0.4193820642
831	0.4188320675
832	0.4185291474
833	0.4178555104
834	0.4174681177
835	0.4170518134
836	0.4168540424
837	0.4164406812
838	0.4160412747
839	0.4158296319
840	0.4153570374
841	0.4148561091
842	0.4141437631
843	0.4136542892
844	0.4131841836
845	0.4124804422
846	0.4122191869
847	0.4116048662
848	0.4112169215
849	0.410958338
850	0.4104761856
851	0.4103484831
852	0.4098442311
853	0.4095704738
854	0.4091686685
855	0.4089016867
856	0.4084545839
857	0.4081134339
858	0.4079140473
859	0.4072842404
860	0.4069331644
861	0.4066536845
862	0.4062165242
863	0.406101009
864	0.4057414939
865	0.4051881668
866	0.4049608285
867	0.4047946713
868	0.4045712658
869	0.4042492797
870	0.4039091818
871	0.4036961531
872	0.4035036856
873	0.4032722293
874	0.4031110566
875	0.4029253707
876	0.4024859699
877	0.4021464509
878	0.4014419182
879	0.4010096472
880	0.400725923
881	0.4003230734
882	0.4000457847
883	0.3997476318
884	0.3994091022
885	0.3991199754
886	0.3987643912
887	0.3983958953
888	0.3980484079
889	0.397584116
890	0.3971459996
891	0.3967978261
892	0.3964609284
893	0.3960870657
894	0.3956124666
895	0.3953275601
896	0.3949530124
897	0.3946707163
898	0.3944559476
899	0.3942269332
900	0.3937558662
901	0.3935727919
902	0.3933213126
903	0.3931737724
904	0.3926534662
905	0.392359505
906	0.3920605408
907	0.3918241887
908	0.3914861158
909	0.391188649
910	0.3908053327
911	0.390492179
912	0.390004914
913	0.3897207608
914	0.3892984308
915	0.3888530461
916	0.3886745213
917	0.3881226625
918	0.3878225562
919	0.3874544438
920	0.3869111631
921	0.3866986846
922	0.3864781978
923	0.3861903169
924	0.3858071262
925	0.3855508238
926	0.384867352
927	0.3843449913
928	0.3839355932
929	0.3835778542
930	0.3832126182
931	0.3829467276
932	0.3824210974
933	0.3823247211
934	0.3817581154
935	0.3814077411
936	0.3810914478
937	0.3808059284
938	0.3806669664
939	0.3804045066
940	0.3800048544
941	0.3796396938
942	0.3793908966
943	0.3790789321
944	0.3789684206
945	0.3785065384
946	0.3780345317
947	0.3777650985
948	0.3776980465
949	0.3771594939
950	0.3768492689
951	0.3765476305
952	0.3764015894
953	0.3762093374
954	0.3759155573
955	0.3751321923
956	0.3749296881
957	0.3746167406
958	0.3743838266
959	0.3742720894
960	0.373909592
961	0.3734472019
962	0.3731416737
963	0.3729420566
964	0.3724248662
965	0.3722464566
966	0.3720326316
967	0.3718160474
968	0.3713056053
969	0.3707128055
970	0.3702224279
971	0.3697843502
972	0.3695592483
973	0.3691910195
974	0.3687275749
975	0.3684464782
976	0.3682217433
977	0.368114651
978	0.3677735495
979	0.3675946662
980	0.3672778608
981	0.367130997
982	0.3665921908
983	0.3661592706
984	0.3660246896
985	0.3657469311
986	0.3655340801
987	0.3651969863
988	0.3648981503
989	0.3647297948
990	0.3643058869
991	0.364041451
992	0.363741853
993	0.3634054468
994	0.3632698672
995	0.3628183932
996	0.3626171099
997	0.3623049582
998	0.3619364598
999	0.3617869018
